raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,listing_id,scrape_date,status,first_seen,last_seen,days_on_market,price_change,price_change_pct
"Top-Bezug: moderne 2-Zimmer-Wohnung mit großzügigem Balkon | 1160 Wien, 16. Bezirk, Ottakring, Paletzgasse/Heigerleinstraße | 58 m² | 2 Zimmer | Balkon | Privat | € 1.180",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/top-bezug-moderne-2-zimmer-wohnung-mit-grosszuegigem-balkon-817294554/,1,,,,,,,,,,ed717a99a26b,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"SCHÖNE 3-ZIMMERWOHNUNG MIT BALKON! Embelgasse 54 T 10! | 1050 Wien, 05. Bezirk, Margareten | 76 m² | 3 Zimmer | Balkon, Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.392,85",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/schoene-3-zimmerwohnung-mit-balkon-embelgasse-54-t-10-1103102583/,1,,,,,,,,,,73fbdfd0afc4,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"Zwei verbundene Wohnungen! Ideal für Mehrgenerationen, Homeoffice oder Vermietung | 1210 Wien, 21. Bezirk, Floridsdorf | 130 m² | 5 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 2.502,50",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/zwei-verbundene-wohnungen-ideal-fuer-mehrgenerationen-homeoffice-oder-vermietung-2097349634/,1,,,,,,,,,,e99c3f8c9d84,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"OPERNRINGHOF 3 Zimmer Wohnung/Büro I 3 Room Apartment opposite Opera | 1010 Wien, 01. Bezirk, Innere Stadt | 83 m² | 3 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 2.080,71",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/opernringhof-3-zimmer-wohnung-buero-i-3-room-apartment-opposite-opera-1902025494/,1,,,,,,,,,,33f3e8e36f74,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"RENOVIERUNGSBEDÜRFTIGE 4-ZIMMERWOHNUNG NÄHE MARGARETEN GÜRTEL U4! HORNBOSTELGASSE 8-10/3/10 | 1060 Wien, 06. Bezirk, Mariahilf | 81 m² | 4 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 878,69",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/renovierungsbeduerftige-4-zimmerwohnung-naehe-margareten-guertel-u4-hornbostelgasse-8-10-3-10-1752162716/,1,,,,,,,,,,68c44fdacaf8,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"ECKWOHNUNG IN DER LERCHENFELDERSTR! Döblergasse 3/14 | 1070 Wien, 07. Bezirk, Neubau | 61 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 996,66",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/eckwohnung-in-der-lerchenfelderstr-doeblergasse-3-14-2069327684/,1,,,,,,,,,,6a3eb4de318c,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"DACHTERRASSENWOHNUNG NÄHE MARIAHILFERSTRASSE! Damböckgasse 10/22 | 1060 Wien, 06. Bezirk, Mariahilf | 86 m² | 3 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 1.593,76",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/dachterrassenwohnung-naehe-mariahilferstrasse-damboeckgasse-10-22-1352928000/,1,,,,,,,,,,1178df32046d,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"Exklusive City-Maisonette mit Panoramablick, Kamin & Abendsonne über der Stadt | 1050 Wien, 05. Bezirk, Margareten | 86 m² | 3 Zimmer | Terrasse, Balkon, Dachterrasse | IMMOcontract Immobilien Vermittlung GmbH | € 2.649,90",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/exklusive-city-maisonette-mit-panoramablick-kamin-abendsonne-ueber-der-stadt-1484267170/,1,,,,,,,,,,8d11155496b5,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"WOHNEN NÄHE ST. ANNA KINDERSPITAL! Brünnlbadgasse 14/7 | 1090 Wien, 09. Bezirk, Alsergrund | 60 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 915,65",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/wohnen-naehe-st-anna-kinderspital-bruennlbadgasse-14-7-1014212075/,1,,,,,,,,,,7aadb7dc342c,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
"GRÜNSTÜCK 22! Neubau-Naturnahes Wohnen in Ruhelage! Adelheid-Popp-Gasse 10 | 1220 Wien, 22. Bezirk, Donaustadt | 56 m² | 2 Zimmer | Balkon, Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 999",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenstueck-22-neubau-naturnahes-wohnen-in-ruhelage-adelheid-popp-gasse-10-1630626693/,1,,,,,,,,,,7aafc8bb0933,2026-01-13 08:20:10.566193,active,2026-01-13 08:17:39.963961,2026-01-13 08:20:10.566193,0,0.0,0.0
