raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,listing_id,scrape_date,status,first_seen,last_seen,days_on_market,price_change,price_change_pct,removed_date
"Helle DG 2 Zimmer Wohnung | 1180 Wien, 18. Bezirk, Währing | 61 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 949,60",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/helle-dg-2-zimmer-wohnung-1079296548/,1,,,,,,,,,,02ae69ada30b,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"WOHNEN MITTEN IN DER STADT! Mostgasse 2/2/34 | 1040 Wien, 04. Bezirk, Wieden | 48 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 935",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/wohnen-mitten-in-der-stadt-mostgasse-2-2-34-1003089090/,1,,,,,,,,,,e1194e8b18da,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Wunderschöne 3-Zimmerwohnung LEOPOLDAU | 1210 Wien, 21. Bezirk, Floridsdorf, Simmelgasse1 | 71 m² | 3 Zimmer | Balkon | Privat | € 1.032,41",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/wunderschoene-3-zimmerwohnung-leopoldau-2008420493/,2,,,,,,,,,,1da6386681f9,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Teilsanierte Wohnung in Ruhelage mit Loggia & Abstellraum | ohne Küche | U6 Dresdner Straße | 1200 Wien, 20. Bezirk, Brigittenau, Leithastraße 21 | 46 m² | 2 Zimmer | Loggia | Tatjana Grinninger Immobilien | € 799",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1200-brigittenau/teilsanierte-wohnung-in-ruhelage-mit-loggia-abstellraum-ohne-kueche-u6-dresdner-strasse-1135058230/,2,,,,,,,,,,f986a5fdc692,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"room4rent - Ihr Zuhause auf Zeit | Q-Tower / STANDARD | 1030 Wien, 03. Bezirk, Landstraße, Leopold-Böhm-Straße 5 | 29 m² | 1 Zimmer | Balkon | room4rent | € 1.080",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/room4rent-ihr-zuhause-auf-zeit-q-tower-standard-1923145665/,2,,,,,,,,,,6573afd00203,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"room4rent - Serviced Apartments | Vienna Academic Guesthouse_LARGE | 1220 Wien, 22. Bezirk, Donaustadt, Eva-Maria-Mazzucco-Platz 4 | 43 m² | 1 Zimmer | Balkon | room4rent | € 1.170",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/room4rent-serviced-apartments-vienna-academic-guesthouse-large-1340457157/,2,,,,,,,,,,a3ebb62f43a9,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Etage 1/Top 04 | 56 m², 2 Zimmer | € 998,13",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenstueck-22-hochwertiger-neubau-in-bester-lage-verfuegbar-ab-februar-wohntraum-1713413379/,3,,,,,,,,,,055b585fdc20,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Traumhafte 3,5-Zimmer-Wohnung - ideal für 3 Studierende | 1160 Wien, 16. Bezirk, Ottakring, Spechbachergasse | 86 m² | 4 Zimmer | Privat | € 1.250",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/traumhafte-3-5-zimmer-wohnung-ideal-fuer-3-studierende-984461694/,4,2026-01-12T22:55:09.218013,1250.0,86.0,5.0,1160.0,0.0,0.0,0.0,0.0,05ee2a0b283d,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Charmante 1-Zimmer-Wohnung mit ca. 39 m² - gut geschnitten & sofort beziehbar! | 1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus, Gebrüder-Lang-Gasse 1 | 39 m² | 1 Zimmer | teamneunzehn-Gruppe | € 753,12",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/charmante-1-zimmer-wohnung-mit-ca-39-m-gut-geschnitten-sofort-beziehbar-1776304071/,4,2026-01-12T22:55:09.384533,753.12,39.0,1.0,1150.0,0.0,0.0,0.0,0.0,64e28e69e261,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
"Hervorragend geschnittene 2-Zimmer-Wohnung mit Wintergarten! | 1190 Wien, 19. Bezirk, Döbling, Barawitzkagasse 17 | 46 m² | 2 Zimmer | Loggia, Wintergarten | IMV Makler GmbH | € 952,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/hervorragend-geschnittene-2-zimmer-wohnung-mit-wintergarten-1749845615/,4,2026-01-12T22:55:09.474649,952.3,46.0,2.0,1190.0,0.0,0.0,0.0,0.0,933efe2814a4,2026-01-13 08:17:39.963961,removed,2026-01-13 08:17:39.963961,2026-01-13 08:19:56.345037,0,0.0,0.0,2026-01-13 08:19:56.345037
