raw_text,link,page_found,scrape_timestamp,price,size,rooms,district,has_balkon,has_terrasse,is_neubau,is_furnished,has_outdoor,floor,is_temporary,price_per_m2,snapshot_date,fingerprint
"Moderne 2,5-Zimmer-Wohnung // WG-tauglich | 1100 Wien, 10. Bezirk, Favoriten | 65 m² | 2 Zimmer | FSR Immobilienvermarktungs- und -beteiligungsgesellschaft m.b.H. | € 1.249,69",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/moderne-2-5-zimmer-wohnung-wg-tauglich-810081373/,2,2026-01-13T10:50:25.671062,1249.69,65.0,2.0,1100.0,,,0,0,0,,,19.226,2026-01-13,1a050398e6
"Moderne Neubauwohnung direkt an der U2 Aspernstraße Wonkaplatz 5 | 1220 Wien, 22. Bezirk, Donaustadt | 53 m² | 2 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 1.070",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/moderne-neubauwohnung-direkt-an-der-u2-aspernstrasse-wonkaplatz-5-1697481450/,5,2026-01-13T11:05:30.281041,1070.0,53.0,2.0,1220.0,,,1,0,1,,,20.18867924528302,2026-01-13,0bc097750a
"Urban gelegene 1-Zimmer Wohnung in der Antonigasse Nähe AKH inkl. Heizkosten! | 1180 Wien, 18. Bezirk, Währing, Antonigasse | 36 m² | 1 Zimmer | Dachterrasse | WINEGG Makler GmbH | € 757,85",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/urban-gelegene-1-zimmer-wohnung-in-der-antonigasse-naehe-akh-inkl-heizkosten-1340515636/,1,2026-01-13T11:04:59.525342,757.85,36.0,1.0,1180.0,,,0,0,1,,,21.05138888888889,2026-01-13,4ea5c13e75
"TERRASSENMIETE MIT GARTENANTEIL / MODERN APARTMENT WITH TERRACE AND SMALL GARDEN | 1190 Wien, 19. Bezirk, Döbling | 130 m² | 4 Zimmer | Terrasse, Garten | Dr. Alexandra Gabriel Realitätenvermittlungs GesmbH | € 2.579,50",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/terrassenmiete-mit-gartenanteil-modern-apartment-with-terrace-and-small-garden-1593113634/,1,2026-01-13T11:04:59.542586,2579.5,130.0,4.0,1190.0,,,0,0,1,,,19.84230769230769,2026-01-13,66c1edb59f
"Gemütliche, hübsche 1-Zimmer Wohnung in der Antonigasse Nähe AKH inkl. Heizkosten! | 1180 Wien, 18. Bezirk, Währing, Antonigasse | 36 m² | 1 Zimmer | Dachterrasse | WINEGG Makler GmbH | € 767,24",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/gemuetliche-huebsche-1-zimmer-wohnung-in-der-antonigasse-naehe-akh-inkl-heizkosten-2040843112/,1,2026-01-13T11:04:59.559745,767.24,36.0,1.0,1180.0,,,0,0,1,,,21.31222222222222,2026-01-13,c0ce418343
"Klein, aber sehr fein: Charmanter 1-Zimmer-ERSTBEZUG im DG, absolute Ruhelage, U3-Nähe | 1030 Wien, 03. Bezirk, Landstraße | 30 m² | 1 Zimmer | BUWOG - Bauen und Wohnen GmbH / Vermietung Nord | € 599,36",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1030-landstrasse/klein-aber-sehr-fein-charmanter-1-zimmer-erstbezug-im-dg-absolute-ruhelage-u3-naehe-1116704889/,1,2026-01-13T11:04:59.577099,599.36,30.0,1.0,1030.0,,,0,0,0,,,19.978666666666665,2026-01-13,ddaa47210e
"TERRASSENWOHNUNG IN INNENSTADT-PALAIS | 1010 Wien, 01. Bezirk, Innere Stadt | 169 m² | 3 Zimmer | Terrasse, Loggia | Dr. Alexandra Gabriel Realitätenvermittlungs GesmbH | € 3.995,01",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/terrassenwohnung-in-innenstadt-palais-789352395/,1,2026-01-13T11:04:59.594159,3995.01,169.0,3.0,1010.0,,,0,0,1,,,23.639112426035503,2026-01-13,c185fe1e7c
"Wohntraum - ruhige, möblierte Wohnung mitten in Wien | 1060 Wien, 06. Bezirk, Mariahilf | 48 m² | 2 Zimmer | WALMETT Immobilien GmbH | € 1.789,52",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/wohntraum-ruhige-moeblierte-wohnung-mitten-in-wien-1089682729/,1,2026-01-13T11:04:59.612623,1789.52,48.0,2.0,1060.0,,,0,1,0,,,37.281666666666666,2026-01-13,f5c014f243
"Miete: 2-Zimmer Dachgeschosswohnung auf einer Ebene mit Terrasse | 1100 Wien | 1100 Wien, 10. Bezirk, Favoriten | 42 m² | 2 Zimmer | Terrasse, Balkon | Avana Real Estate GmbH | € 1.083,06",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/miete-2-zimmer-dachgeschosswohnung-auf-einer-ebene-mit-terrasse-1100-wien-1782322072/,2,2026-01-13T11:05:07.235911,1083.06,42.0,2.0,1100.0,,,0,0,1,,,25.787142857142857,2026-01-13,29a4917278
"Traumhafte 4-Zimmer-Wohnung im Herzen von Wien - Top-Innenstadtlage beim Stephansplatz! | 1010 Wien, 01. Bezirk, Innere Stadt | 107 m² | 4 Zimmer | 3SI Makler GmbH | € 2.799",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/traumhafte-4-zimmer-wohnung-im-herzen-von-wien-top-innenstadtlage-beim-stephansplatz-1033832373/,1,2026-01-13T11:04:59.630247,2799.0,107.0,4.0,1010.0,,,0,0,0,,,26.1588785046729,2026-01-13,478e8575be
