raw_text,link,page_found
"Top-Bezug: moderne 2-Zimmer-Wohnung mit großzügigem Balkon | 1160 Wien, 16. Bezirk, Ottakring, Paletzgasse/Heigerleinstraße | 58 m² | 2 Zimmer | Balkon | Privat | € 1.180",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/top-bezug-moderne-2-zimmer-wohnung-mit-grosszuegigem-balkon-817294554/,1
"SCHÖNE 3-ZIMMERWOHNUNG MIT BALKON! Embelgasse 54 T 10! | 1050 Wien, 05. Bezirk, Margareten | 76 m² | 3 Zimmer | Balkon, Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.392,85",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/schoene-3-zimmerwohnung-mit-balkon-embelgasse-54-t-10-1103102583/,1
"Zwei verbundene Wohnungen! Ideal für Mehrgenerationen, Homeoffice oder Vermietung | 1210 Wien, 21. Bezirk, Floridsdorf | 130 m² | 5 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 2.502,50",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/zwei-verbundene-wohnungen-ideal-fuer-mehrgenerationen-homeoffice-oder-vermietung-2097349634/,1
"OPERNRINGHOF 3 Zimmer Wohnung/Büro I 3 Room Apartment opposite Opera | 1010 Wien, 01. Bezirk, Innere Stadt | 83 m² | 3 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 2.080,71",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1010-innere-stadt/opernringhof-3-zimmer-wohnung-buero-i-3-room-apartment-opposite-opera-1902025494/,1
"RENOVIERUNGSBEDÜRFTIGE 4-ZIMMERWOHNUNG NÄHE MARGARETEN GÜRTEL U4! HORNBOSTELGASSE 8-10/3/10 | 1060 Wien, 06. Bezirk, Mariahilf | 81 m² | 4 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 878,69",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/renovierungsbeduerftige-4-zimmerwohnung-naehe-margareten-guertel-u4-hornbostelgasse-8-10-3-10-1752162716/,1
"ECKWOHNUNG IN DER LERCHENFELDERSTR! Döblergasse 3/14 | 1070 Wien, 07. Bezirk, Neubau | 61 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 996,66",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/eckwohnung-in-der-lerchenfelderstr-doeblergasse-3-14-2069327684/,1
"Projekt 5in22: Moderne Neubauwohnung direkt an der U2 Aspernstraße | 1220 Wien, 22. Bezirk, Donaustadt | 65 m² | 3 Zimmer | Balkon | IMMOcontract Immobilien Vermittlung GmbH | € 1.249,99",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/projekt-5in22-moderne-neubauwohnung-direkt-an-der-u2-aspernstrasse-1895195261/,1
"Naturnaher Wohnkomfort - Provisionsfreie 3-Zimmer-Wohnung im ""GRÜNSTÜCK 22"" | 1220 Wien, 22. Bezirk, Donaustadt | 68 m² | 3 Zimmer | Balkon, Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.249",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/naturnaher-wohnkomfort-provisionsfreie-3-zimmer-wohnung-im-gruenstueck-22-1992726682/,1
"DACHTERRASSENWOHNUNG NÄHE MARIAHILFERSTRASSE! Damböckgasse 10/22 | 1060 Wien, 06. Bezirk, Mariahilf | 86 m² | 3 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 1.593,76",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1060-mariahilf/dachterrassenwohnung-naehe-mariahilferstrasse-damboeckgasse-10-22-1352928000/,1
"Exklusive City-Maisonette mit Panoramablick, Kamin & Abendsonne über der Stadt | 1050 Wien, 05. Bezirk, Margareten | 86 m² | 3 Zimmer | Terrasse, Balkon, Dachterrasse | IMMOcontract Immobilien Vermittlung GmbH | € 2.649,90",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1050-margareten/exklusive-city-maisonette-mit-panoramablick-kamin-abendsonne-ueber-der-stadt-1484267170/,1
"WOHNEN NÄHE ST. ANNA KINDERSPITAL! Brünnlbadgasse 14/7 | 1090 Wien, 09. Bezirk, Alsergrund | 60 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 915,65",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/wohnen-naehe-st-anna-kinderspital-bruennlbadgasse-14-7-1014212075/,1
"GRÜNSTÜCK 22! Neubau-Naturnahes Wohnen in Ruhelage! Adelheid-Popp-Gasse 10 | 1220 Wien, 22. Bezirk, Donaustadt | 56 m² | 2 Zimmer | Balkon, Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 999",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/gruenstueck-22-neubau-naturnahes-wohnen-in-ruhelage-adelheid-popp-gasse-10-1630626693/,1
"Helle DG 2 Zimmer Wohnung | 1180 Wien, 18. Bezirk, Währing | 61 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 949,60",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1180-waehring/helle-dg-2-zimmer-wohnung-1079296548/,1
"2-Zimmer Balkonhit! Anfragen nur per Mail - keine Anrufe! | 1160 Wien, 16. Bezirk, Ottakring | 48 m² | 2 Zimmer | Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 739,20",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/2-zimmer-balkonhit-anfragen-nur-per-mail-keine-anrufe-1432557712/,1
"MIETANBOT ANGENOMMEN U3 I ERSTBEZUG Top Dachwohnung 2 Zimmer + Terrasse =DAS LAURENZ= 1 bedroom apartment+terrace | 1110 Wien, 11. Bezirk, Simmering | 44 m² | 2 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 906,40",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/mietanbot-angenommen-u3-i-erstbezug-top-dachwohnung-2-zimmer-terrasse-das-laurenz-1-bedroom-apartment-terrace-1943774487/,1
"ERSTBEZUG - 2-4 Zimmer-Wohnungen: Top-Angebot in Jedlesee! | 1210 Wien, 21. Bezirk, Floridsdorf | IMMOcontract Immobilien Vermittlung GmbH | € 726",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-2-4-zimmer-wohnungen-top-angebot-in-jedlesee-1254053436/,1
"Helle 2-Zimmer Wohnung! Keine Anrufe - Anfragen nur per Mail! | 1100 Wien, 10. Bezirk, Favoriten | 45 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 770",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1100-favoriten/helle-2-zimmer-wohnung-keine-anrufe-anfragen-nur-per-mail-1873195685/,1
"Schöne großzügige 2-Zimmer-Wohnung Jeneweingasse 34 - Top 5 | 1210 Wien, 21. Bezirk, Floridsdorf | 79 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 1.049,40",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/schoene-grosszuegige-2-zimmer-wohnung-jeneweingasse-34-top-5-1633133555/,1
"GROSSZÜGIGE 2-ZIMMERWOHNUNG NÄHE VOLKSTHEATER! Döblergasse 1/22 | 1070 Wien, 07. Bezirk, Neubau | 61 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 1.002,26",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1070-neubau/grosszuegige-2-zimmerwohnung-naehe-volkstheater-doeblergasse-1-22-879840073/,1
"Die Belohnung für langes suchen! 3 Zimmerwohnung mit Balkon Beheimgasse 38 | 1170 Wien, 17. Bezirk, Hernals | 79 m² | 3 Zimmer | Balkon | IMMOcontract Immobilien Vermittlung GmbH | € 1.297,49",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/die-belohnung-fuer-langes-suchen-3-zimmerwohnung-mit-balkon-beheimgasse-38-1985533544/,1
"Gartenwohnung in Ruhelage! Hochstraße 11 - Top 7 | 1230 Wien, 23. Bezirk, Liesing | 48 m² | 1 Zimmer | Terrasse, Garten | IMMOcontract Immobilien Vermittlung GmbH | € 760,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/gartenwohnung-in-ruhelage-hochstrasse-11-top-7-1964617666/,1
"Großzügige 2-Zimmer-Balkon-Terrassen-Maisonette Rosenhügelstraße 12 Stiege 2 Top 3 | 1120 Wien, 12. Bezirk, Meidling | 76 m² | 2 Zimmer | Terrasse, Balkon | IMMOcontract Immobilien Vermittlung GmbH | € 975,90",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/grosszuegige-2-zimmer-balkon-terrassen-maisonette-rosenhuegelstrasse-12-stiege-2-top-3-1539694310/,1
"3-Zimmer in der Viktoriagasse! Open House - Anfragen nur per Mail! | 1150 Wien, 15. Bezirk, Rudolfsheim-Fünfhaus | 92 m² | 3 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 1.309",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1150-rudolfsheim-fuenfhaus/3-zimmer-in-der-viktoriagasse-open-house-anfragen-nur-per-mail-1175793025/,1
"Helle 2-Zimmer-Wohnung im 17. Bezirk | 1170 Wien, 17. Bezirk, Hernals | 57 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 886,37",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/helle-2-zimmer-wohnung-im-17-bezirk-1579381487/,1
"GARTENWOHNUNG IN IDYLLISCHER UMGEBUNG INKL. HEIZUNG & WARMWASSER! | 1160 Wien, 16. Bezirk, Ottakring | 78 m² | Terrasse, Garten | IMMOcontract Immobilien Vermittlung GmbH | € 1.460,65",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/gartenwohnung-in-idyllischer-umgebung-inkl-heizung-warmwasser-1115968504/,1
"Dreizimmer-Balkon-Wohnung: Ruckergasse 43 - Top 16 | 1120 Wien, 12. Bezirk, Meidling | 65 m² | 3 Zimmer | Terrasse, Balkon | IMMOcontract Immobilien Vermittlung GmbH | € 1.100,25",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1120-meidling/dreizimmer-balkon-wohnung-ruckergasse-43-top-16-2130592872/,1
"ERSTBEZUG - 3 Zimmer-Loggia-Wohnung: Top-Angebot in Jedlesee w8! | 1210 Wien, 21. Bezirk, Floridsdorf | Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.210",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-3-zimmer-loggia-wohnung-top-angebot-in-jedlesee-w8-1793514715/,1
"WOHNEN MITTEN IN DER STADT! Mostgasse 2/2/34 | 1040 Wien, 04. Bezirk, Wieden | 48 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 935",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1040-wieden/wohnen-mitten-in-der-stadt-mostgasse-2-2-34-1003089090/,1
"OBERDÖBLING 2 Zimmer Küche+AR Wohnung - 1 bedroom Apartment with separate kitchen | 1190 Wien, 19. Bezirk, Döbling | 55 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 860",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1190-doebling/oberdoebling-2-zimmer-kueche-ar-wohnung-1-bedroom-apartment-with-separate-kitchen-784076869/,1
"MIETANGEBOT ANGENOMMEN=DAS LAURENZ= ERSTBEZUG Top Loggia Wohnung U3 2 Zimmer + Loggia - 1 bedroom apartment + loggia U3 | 1110 Wien, 11. Bezirk, Simmering | 57 m² | 2 Zimmer | Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.147,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/mietangebot-angenommen-das-laurenz-erstbezug-top-loggia-wohnung-u3-2-zimmer-loggia-1-bedroom-apartment-loggia-u3-1360475698/,1
Thaliastraße Top Lage Geschäftslokal 250m² + 60m² Lager,https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/thaliastrasse-top-lage-geschaeftslokal-250m-60m-lager-1645781148/,2
"KFZ Garage | 1090 Wien, 09. Bezirk, Alsergrund | IMMOcontract Immobilien Vermittlung GmbH | € 106,84",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1090-alsergrund/kfz-garage-1705792354/,2
"OPEN HOUSE AM 9.12. - ANRFAGEN NUR PER MAIL KEINE ANRUFE | 1160 Wien, 16. Bezirk, Ottakring | 48 m² | 2 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 698,50",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1160-ottakring/open-house-am-9-12-anrfagen-nur-per-mail-keine-anrufe-1514412572/,2
"U3 ! Inklusive Küche 2 Zimmer Wohnung+Loggia =DAS LAURENZ= Erstbezug - 1 Bedroom+ Loggia | 1110 Wien, 11. Bezirk, Simmering | 56 m² | 2 Zimmer | Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.097,80",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1110-simmering/u3-inklusive-kueche-2-zimmer-wohnung-loggia-das-laurenz-erstbezug-1-bedroom-loggia-1599333059/,2
"Unbefristet: Modernisierte Altbauwohnung in Liesing Hochstraße 11 Top 3 | 1230 Wien, 23. Bezirk, Liesing | 66 m² | 2 Zimmer | Garten | IMMOcontract Immobilien Vermittlung GmbH | € 981,66",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1230-liesing/unbefristet-modernisierte-altbauwohnung-in-liesing-hochstrasse-11-top-3-1471431112/,2
"CHARMANTE 3-ZIMMERWOHNUNG MIT GETRENNTER KÜCHE NÄHE U4 UNTER ST. VEIT! | 1130 Wien, 13. Bezirk, Hietzing | 100 m² | 3 Zimmer | Loggia | IMMOcontract Immobilien Vermittlung GmbH | € 1.496,26",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1130-hietzing/charmante-3-zimmerwohnung-mit-getrennter-kueche-naehe-u4-unter-st-veit-2000075676/,2
"ERSTBEZUG - 2 Zimmer-Wohnung: Top-Angebot in Jedlesee w6! | 1210 Wien, 21. Bezirk, Floridsdorf | IMMOcontract Immobilien Vermittlung GmbH | € 729,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/erstbezug-2-zimmer-wohnung-top-angebot-in-jedlesee-w6-1121609351/,2
"Moderne Neubauwohnung direkt an der U2 Aspernstraße Wonkaplatz 5 | 1220 Wien, 22. Bezirk, Donaustadt | 53 m² | 2 Zimmer | Terrasse | IMMOcontract Immobilien Vermittlung GmbH | € 1.070,30",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1220-donaustadt/moderne-neubauwohnung-direkt-an-der-u2-aspernstrasse-wonkaplatz-5-1496670053/,2
"Koffer packen und einziehen | 1210 Wien, 21. Bezirk, Floridsdorf | 84 m² | 3 Zimmer | IMMOcontract Immobilien Vermittlung GmbH | € 1.250",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1210-floridsdorf/koffer-packen-und-einziehen-1594725065/,2
"FOR RENT: Urban Living Meets Nature: Garden Apartment in Vienna | 1170 Wien, 17. Bezirk, Hernals, Zwerngasse 49 | 75 m² | 3 Zimmer | Terrasse, Balkon, Garten | ImRaum Immobilien GmbH | € 1.998,22",https://www.willhaben.at/iad/immobilien/d/mietwohnungen/wien/wien-1170-hernals/for-rent-urban-living-meets-nature-garden-apartment-in-vienna-1593391872/,2
